OPERACIÓN MÉCANICA,TOP BOY,AGILITY,AGILITY RS,AGILITY CITY 150,BET & WIN,ACTIV,"SPIKE
",AGILITY RS  NAKED  ,SUPER 8,GACELA,CRUCERO             x-town 300,ROCKET,FLY 125,TWIST,JETIX,UNI-K 110,TRACK,PULSAR 135,Perseo,PULSAR,PULSAR 180 UG,PULSAR 150  ,THOR 160,PULSAR 200  ,PULSAR 150 NS ,PULSAR 150 AS,PULSAR 200 AS ,PULSAR 200 NS ,TITAN,PULSAR  RS 200,PULSAR 220,AVENGER 220,XCD ,DISCOVER 100,DISCOVER 135,"
BOXER",LEXUS,DISCOVER 100 5S,DISCOVER 150,CHAMPION,DISCOVER 125 ST,"
BOXER BM 100",BOXER BM 150,BOXER BM 100 ES ,PLATINO 125,PLATINO 125 - 5S,"
 PLATINO 100",PLATINO 110,FAMILLY,"MOTOCARRO
4T",TORITO,"MOTOCARRO
DIESEL"," KAZE
MAX II",ZX 130- MAGIC II,KMX,KLX 150,KLX150  L,KLX 250,NINJA 250,NINJA 250 FI,Z250,Z250 SL,ER-6n,TRANS-SPORT,MRX 150,FURAX,BOMBER 125,BOMBER 250,COMBAT 125,ZS,LIFE,HUNTER,BLACK,VENOM 400,VENOM 250,ONE,FLOW,ADVANCE II LF,ZONTES 155,ZONTES 310M,SHOCK,TNT150i,180S,TNT25N,LEONCINO 500,LEONCINO 250,TRK 500X,TRK 251,302 S
CAMBIO DE STOP,0.7,0.7,1,1,0.8,0.7,0.7,1,1,1,1.5,1,1,1,1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,0.5,0.7,0.7,0.5,0.5,0.7,0.5,0.5,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.7,0.7,1,0.5,0.4,0.5,1,1,1.5,1.5,0.5,0.7,0.7,0.7,0.7,0.8,1.5,0.7,0.8,0.8,0.8,0.7,0.8,0.7,0.8,0.8
CAMBIO DE LUNA (TALCO) DE STOP,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,0.1,,,0.1,0.1,0.1,,,,,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.3,0.3,,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,0.1,0.1,1,,,,,0.1,,,,,,0.1,0.1,0.4,,0.1,0.4,,,,,,,
CAMBIO BOBINA(S) DE ALTA ,0.6,0.6,0.6,0.6,0.7,0.5,0.5,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.7,1,0.7,1,1.3,1.3,1,1,1.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.5,,0.8,0.5,0.7,0.3,0.3,0.3,0.8,0.8,0.8,0.8,1.5,0.8,0.3,1.2,0.7,0.3,0.7,0.6,6,0.7,0.7,0.4,1,0.5,0.5,0.5,0.7,0.7,0.5,0.7,0.7,0.7,1.5,0.7,2,0.7,2
CAMBIO PLATO DE BOBINAS,1,1,1,1,2.5,0.8,0.8,1,1,1,2.5,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.2,0.8,1.2,1.2,1.2,1.2,1.2,1.3,0.8,0.8,0.8,0.8,0.8,1,1,0.8,0.8,0.8,0.8,1,1,1,0.8,0.8,1,0.8,,1.5,1.5,,1,1,0.8,0.8,0.8,0.9,1,1,1,1,1.0,1,0.8,1,1,0.5,1,1,1,1,1,0.6,1.2,0.8,1.0,0.8,1,1,0.8,1,1,1,1.2,1,1.2,1,1
CAMBIO C.D.I.,0.8,0.2,0.2,0.2,0.5,0.8,0.8,0.2,0.4,0.4,,0.2,0.2,0.2,0.2,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,9,0.2,,0.8,0.8,0.7,0.3,0.3,,0.5,,,,0.5,0.8,0.3,0.8,0.5,,0.5,0.2,0.2,,,,0.3,0.4,0.5,0.8,,,0.8,,,,,,,,
CAMBIO INTERRUPTOR FRENO DELANTERO,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,0.7,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.5,0.7,0.3,0.4,0.4,0.1,0.4,0.4,0.4,0.4,0.4,0.1,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.2,0.2,0.5,0.2,0.5,0.2,0.2
CAMBIO INTERRUPTOR FRENO TRASERO,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.8,0.8,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.8,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,,0.6,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.3,0.4,0.5,0.5,0.5,0.4,0.5,0.3,0.3,0.3,0.5,0.3,0.5,0.3,0.3
CAMBIO PITO C/U,0.5,0.4,0.4,0.4,0.7,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,,0.5,0.5,0.4,0.2,0.2,0.2,0.4,0.3,0.3,0.3,0.2,0.5,0.2,0.3,0.2,0.1,0.2,0.5,0.5,0.5,0.5,0.25,0.2,0.2,0.5,0.5,0.3,0.5,0.5,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.3
CAMBIO ALARMA SONORA DE DIRECCIONALES,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
REVISION DEL SISTEMA ELECTRICO COMPLETO,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,1.5,1.5,2,2,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,1.5,2,1.5,0.8,1.5,1.5,1.5,2,2,1.5,2,1.5,1.5,1.5,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CAMBIO GUARDAFANGO TRASERO PORTA PLACA,,,0.5,,,,,0.5,0.5,0.5,0.7,,0.5,0.5,,,,0.2,0.2,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,0.2,0.2,,,,,0.2,,0.2,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,0.5,0. 7,0.7,0.5,0.2,,,,,0.7,,,,,,,,,
CAMBIO REGULADOR/RECTIFICADOR,0.5,0.6,0.5,0.6,0.7,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.5,0.5,0.4,0.5,0.5,0.5,0.7,0.7,0.25,0.3,0.5,0.5,0.5,0.3,0.7,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CAMBIO SUICHE ENCENDIDO,1.5,1.5,1.5,1.5,1.7,1.5,1.5,1.5,1.5,1.5,1.7,1.5,1.5,1.5,1.5,1.5,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,,1.5,1.5,1,1,1,1,1,1,1,1,1.0,1,1,1,1,0.5,1,1.5,1.5,1.5,1.8,,1,1.5,1.5,1.5,,1.8,1.5,1,1,1,1.0,1,1.0,1,1
CAMBIO SUICHE RUN,,,,,,,,,,,,,,,,,,0.7,0.7,,0.7,0.7,0.7,0.7,,,,,,,0.7,0.3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,0.5,,0.5,,1,,,,,,,,,1,,,,,,,,,
CAMBIO SUCIHE DIRECCIONALES,,,,,,0.7,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.5,,0.5,,,,,,,0.7,0.7,0.7,,1,0.7,,,,,,,,
CAMBIO SENSOR GATO LATERAL,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.6,0.6,,,,0.6,,,,,,,,,,,,0.5,,,,,,,,0.6,0.6,0.6,0.6,0.6,0.6,0.6
CAMBIO SUICHE CLUTCH,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,0.3,0.3,0.3,0.3,,,,0.3,0.3,,0.3,0.3,,,,,,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.6,,0.3,,,0.1,,,,,,0.1,0.3,,,,0.4,,,0.4,0.4,0.4,0.6,0.4,0.6,0.4,0.4
CAMBIO DE COMANDO LH,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.7,1,0.9,0.9,0.9,0.9,0.9,1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.3,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,1,0.9,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,0.7,0.7,0.7,0.4,0.7,0.8,0.8,1,1,0.3,0.7,1,0.7,0.9,0.7,1,0.9,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
CAMBIO DE COMANDO RH,1,1,1,1,1,1,1,1,0.8,0.8,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,0.8,0.8,0.8,0.4,0.8,0.8,0.8,1,1,0.3,0.8,1,0.7,1,0.8,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
CAMBIO DEL SOLENOIDE (CHOKE),0.7,0.7,0.7,0.7,0.7,,,0.7,0.7,0.7,,0.7,0.7,0.7,,,,0.5,0.5,,0.5,0.5,,,,,,,,,0.5,2,0.5,0.5,,,,,,,,,,,0.5,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,
CAMBIO Y/O REPARACION DEL MOTOR DEL LIMPIA BRISAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO LUNA (TALCO) DE DIRECCIONALES,0.1,0.1,,,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,0.5,0.1,,,0.1,,,,,,,,
CAMBIO DE E.C.U,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,,,,,,,0.4,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,,,,,0.3,,,,,1,0.3,,,,,0.3,1,,0.3,1.3,0.3,0.3,0.3,0.3,0.3,0.3
CAMBIO SENSOR DE LAS DIRECCIONALES ,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,,,,,,,,,0.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO SUICHE DEL PITO DEL COMANDO,,,,,,0.7,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,0.7,0.7,0.7,,,0.7,,,,,,,,
CAMBIO SUICHE DE LUCES DEL COMANDO,,,,,,0.7,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,0.7,0.7,0.7,,,0.7,,,,,,,,
CAMBIO SUCHE DE STARTER DEL COMANDO,,,,,,0.7,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,0.7,0.7,0.7,,,0.7,,,,,,,,
CAMBIO SUICHE DE ESTACIONARIAS,,,,,,0.7,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.7,,1,0.7,,,,,,,,
CAMBIO SENSOR LUZ DE PASO,,,,,,0.7,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,0.7,,0.7,,,0.7,,,,,,,,
CAMBIO DEL RELE DE ARRANQUE,0.3,0.5,0.5,0.5,0.5,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.3,0.3,0.3,,,0.3,0.3,0.3,0.3,,0.3,0.3,0.3,0.3,,0.3,0.3,0.3,0.3,0.3,0.5,0.3,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.2,0.3,0.5,0.5,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CAMBIO RAMAL ELÉCTRICO ,3,3,3,3,3.5,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.8,2.5,2.8,3,3,2.8,3.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3,2.5,2.5,2.5,2.5,2.5,3,3,3,3.5,2.5,2.8,3,3,3,3,3.5,3,2.5,2.5,2.5,3,2.5,3,2.5,2.5
CAMBIO DEL FLASHER,0.7,0.3,0.3,0.3,1.2,0.6,0.6,0.3,0.5,0.5,0.5,0.3,0.3,0.3,0.4,0.6,0.5,0.3,0.3,,,,0.3,0.3,0.3,0.3,0.3,0.3,,0.4,,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,0.6,0.6,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.3,0.6,0.3,0.3,0.5,0.3,0.5,0.5,0.3,0.5,0.5,0.1,0.3,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.3,0.5,0.3,0.5,0.5
CAMBIO CABLE DE VELOCIMETRO (SENSOR),,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,0.4,0.3,,0.3,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,0.1,0.3,,,,0.5,0.5,,,,,,,,,
IMPERMEABILIZACION DE LA FAROLA,0.6,0.6,0.6,0.6,1.2,0.6,0.6,0.6,1,1,1,1.5,0.6,0.6,0.6,0.6,0.6,1,1,0.6,0.6,0.6,1,1,1,1,1,1,1,1.5,2,0.4,1,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,1,1,0.6,1,1,0.5,0.5,,0.7,0.7,0.5,0.5,0.5,0.5,1,1,0.7,0.7,0.7,0.7,0.5,0.7,0.6,0.4,0.6,1,,1,1,,1,0.6,0.6,0.6,,1,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
CAMBIO SOCKET DE LUZ GAVETA ,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,
CAMBIO BOMBILLO LUZ DE GAVETA ,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,
CAMBIO LUZ DE PLACA,,,,1,0.3,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.3,,0.3,0.3,,,,0.3,0.3,0.3,0.3,,,,0.3,0.3,,,,,,,,,,0.4,0.4,0.4,0.3,0.3,0.3,0.3,,,0.4,1,0.5,0.4,0.5,,,,1,0.5,0.3,,,,0.5,1,,0.3,0.3,0.3,,0.3,,0.3,0.3
CAMBIO BOMBILLO LUZ DE PLACA,0.3,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,1,0.3,,0.3,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,0.5,0.3,,0.3,0.3,,,,0.3,0.3,0.3,0.3,,,,0.3,0.3,,,,0.3,0.3,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,,0.1,1,,,,0.3,,0.5,0.5,,0.3,,,0.3,0.5,1,0.3,0.1,0.1,0.1,0.3,0.1,0.3,0.1,0.1
CAMBIO SENSOR DE REVERSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO BOMBILLO LUZ DE REVERSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO SENSOR FILTRO DE AIRE,,,,,,,,,,,,,,,,,,,,,1.2,1.2,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO SENSOR DE PRESION BAJA DE ACEITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVISION SISTEMA ELECTRICO DOS  TIEMPO ,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVISION SISTEMA ELECTRICO CUATRO TIEMPO,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.5,,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CAMBIO DE BATERIA,0.2,0.2,0.2,0.2,0.2,0.2,,0.2,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0.2,0.2,0.2,0.2,0.2,0.3,0.3,,,,0.3,,0.2,0.2,0.2,0.2,0.2,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,0.2,0.2,0.2,,0.2,0.2,0.4,,0.4,0.2,,0.3,0.4,0.2,,0.4,,,,,,,,,,,,,,,,,,,0.4,,0.4,,
CHAPAS Y SEGUROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO CONJUNTO DE CLAVES COMPLETA,1.5,1.7,1.7,1.7,2,1.5,,1.5,,,,1.7,1.7,1.7,1.7,1.5,1.5,1.5,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,,1.5,,1.5,1.5,1.5,1.5,1.5,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,1,1,,1.5,1.5,1.5,1.5,,1.5,1.5,,1.5,1.5,1.5,1.3,1.5,,,,,,,,,,,,1.2,,,,,,,1.5,,1.5,,
CAMBIO DE CHAPA DE SILLIN,0.6,0.6,0.6,0.6,0.7,0.6,,0.6,,,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,0.3,,0.3,,0.3,0.3,0.3,,,0.3,0.3,0.3,0.3,,,,0.3,0.3,0.3,,,,,,0.6,0.6,0.4,,,,0.5,,0.5,0.5,0.6,0.6,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,
CAMBIO SEGURO DE DIRECCIÓN,1.5,1.5,1.5,1.5,1.7,1.5,,1.5,,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,1,1,1,1,1,1,1,,,,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,1.5,1.5,1,1,,1,1.0,,1,1,1.0,1,1,,,,,,,,,,,,1,,,,,,,1,,1,,
CAMBIO DE SEGURO DE BLOQUE DE ACELERACION,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO DE SEGURO GAVETA,1,0.6,0.6,0.6,0.7,0.6,,0.6,,,,0.6,0.6,0.6,0.6,0.4,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
